name,active,value_1,value_2,description_1,description_2,definition,source,NFIRS Crosswalk
UNCLASSIFIED: UNCLASSIFIED,TRUE,UNCLASSIFIED,UNCLASSIFIED,Unclassified,Unclassified,,,
UTILITY_MISC: TRANSPORTATION_STATION_HUB_AREA,TRUE,UTILITY_MISC,TRANSPORTATION_STATION_HUB_AREA,Utility and Misc,Transportation Station / Hub / Area (Airport / Bus / Train / Passenger Terminal,,,"974, 972, 973, 171, 173, 174, 632"
UTILITY_MISC: ENERGY_FACILITY_INFRASTRUCTURE,TRUE,UTILITY_MISC,ENERGY_FACILITY_INFRASTRUCTURE,Utility and Misc,Energy Facility / Infrastructure,,,"610, 614, 615, 642, 644, 645,  983"
UTILITY_MISC: WATER_SANITATION_FACILITY_INFRASTRUCTURE,TRUE,UTILITY_MISC,WATER_SANITATION_FACILITY_INFRASTRUCTURE,Utility and Misc,Water and Sanitation Facility / Infrastructure,,,647
UTILITY_MISC: TRASH_RECYCLING_FACILITY,TRUE,UTILITY_MISC,TRASH_RECYCLING_FACILITY,Utility and Misc,Trash / Recycling Facility,,,648
STORAGE: STORAGE_PORTABLE_BUILDING,TRUE,STORAGE,STORAGE_PORTABLE_BUILDING,Storage,Storage - Portable Building,,,
STORAGE: STORAGE_MULTI_TENANT,TRUE,STORAGE,STORAGE_MULTI_TENANT,Storage,Storage - Multi-Tenant,,,
STORAGE: STORAGE_SINGLE_TENANT,TRUE,STORAGE,STORAGE_SINGLE_TENANT,Storage,Storage -  Single-Tenant,,,
ROADWAY_ACCESS: SIDEWALK,TRUE,ROADWAY_ACCESS,SIDEWALK,Roadway/Access,Sidewalk,,,
ROADWAY_ACCESS: STREET,TRUE,ROADWAY_ACCESS,STREET,Roadway/Access,Street,,,"960, 962, 963"
ROADWAY_ACCESS: HIGHWAY_INTERSTATE,TRUE,ROADWAY_ACCESS,HIGHWAY_INTERSTATE,Roadway/Access,Highway / Interstate ,,,961
ROADWAY_ACCESS: LIMITED_ACCESS_HIGHWAY_INTERSTATE,TRUE,ROADWAY_ACCESS,LIMITED_ACCESS_HIGHWAY_INTERSTATE,Roadway/Access,Limited Access Highway / Interstate,,,
ROADWAY_ACCESS: BRIDGE,TRUE,ROADWAY_ACCESS,BRIDGE,Roadway/Access,Bridge,,,921
ROADWAY_ACCESS: TUNNEL,TRUE,ROADWAY_ACCESS,TUNNEL,Roadway/Access,Tunnel,,,922
ROADWAY_ACCESS: RAILROAD_RAILYARD,TRUE,ROADWAY_ACCESS,RAILROAD_RAILYARD,Roadway/Access,Railroad or Railroad Yard,,,"951, 952"
ROADWAY_ACCESS: PARKING_LOT_GARAGE,TRUE,ROADWAY_ACCESS,PARKING_LOT_GARAGE,Roadway/Access,Parking Lot / Parking Garage,,,"881, 882, 965"
OUTDOOR: GROUND_VACANT_LAND,TRUE,OUTDOOR,GROUND_VACANT_LAND,Outdoor,Ground / Vacant Land,,,"931, 936 "
OUTDOOR: CAMP_SITE,TRUE,OUTDOOR,CAMP_SITE,Outdoor,Camp Site,,,935
OUTDOOR: PLAYGROUND_PARK_RECREATIONAL_AREA,TRUE,OUTDOOR,PLAYGROUND_PARK_RECREATIONAL_AREA,Outdoor,Playground / Park / Recreational Area / Monument / Statue,,,"110, 121, 124, 154"
OUTDOOR: HIKING_TRAIL,TRUE,OUTDOOR,HIKING_TRAIL,Outdoor,Hiking Trail,,,
OUTDOOR: ORCHARD_CROPS_FARMLAND,TRUE,OUTDOOR,ORCHARD_CROPS_FARMLAND,Outdoor,Orchard / Crops / Farm (non-building),,,655
OUTDOOR: FOREST_GRASSLANDS_WOODLAND_WILDLAND_AREAS,TRUE,OUTDOOR,FOREST_GRASSLANDS_WOODLAND_WILDLAND_AREAS,Outdoor,Forest / Grasslands / Woodland / Wildland Area,,,669
OUTDOOR: WATER_PROXIMITY,TRUE,OUTDOOR,WATER_PROXIMITY,Outdoor,Water Proximity (Beach / Dock),,,"937, 143, 898, 940"
OUTDOOR: OPEN_WATER,TRUE,OUTDOOR,OPEN_WATER,Outdoor,Open Water (Lake / River/ Pond / Ocean),,,"941, 946"
OUTDOOR_INDUSTRIAL: DUMP_LANDFILL,TRUE,OUTDOOR_INDUSTRIAL,DUMP_LANDFILL,Outdoor Industrial,Dump / Landfill,,,919
OUTDOOR_INDUSTRIAL: INDUSTRIAL_YARD,TRUE,OUTDOOR_INDUSTRIAL,INDUSTRIAL_YARD,Outdoor Industrial,Industrial Yard,,,984
OUTDOOR_INDUSTRIAL: MINE,TRUE,OUTDOOR_INDUSTRIAL,MINE,Outdoor Industrial,Mine (non-building) / Oil Field,,,"679, 982"
OUTDOOR_INDUSTRIAL: CONSTRUCTION_SITE,TRUE,OUTDOOR_INDUSTRIAL,CONSTRUCTION_SITE,Outdoor Industrial,Construction Site,,,981
