,active,value_2,value_1,definition,source
61,TRUE,FURNISHINGS_FIXTURES,Footlockers,,
62,TRUE,FURNISHINGS_FIXTURES,"Bedding, not specified",,
63,TRUE,FURNISHINGS_FIXTURES,Other furniture,,
64,TRUE,FURNISHINGS_FIXTURES,Other electric lighting equipment,,
65,TRUE,FURNISHINGS_FIXTURES,"Floor lamps or table lamps, halogen",,
66,TRUE,FURNISHINGS_FIXTURES,Sinks (excluding faucets),,
67,TRUE,FURNISHINGS_FIXTURES,"Pictures, picture frames or wall decorations",,
68,TRUE,FURNISHINGS_FIXTURES,"Chair, recliner",,
69,TRUE,FURNISHINGS_FIXTURES,Sheets or pillowcases,,
70,TRUE,FURNISHINGS_FIXTURES,"Tables, not elsewhere classified (excl. baby changing tables, billiard or pool tables and television tables or stands)",,
71,TRUE,FURNISHINGS_FIXTURES,Nonelectric blankets,,
72,TRUE,FURNISHINGS_FIXTURES,"Drapery or curtain rods, hooks or rings",,
73,TRUE,FURNISHINGS_FIXTURES,"Floor lamps or table lamps, electric (excluding halogen lamps)",,
74,TRUE,FURNISHINGS_FIXTURES,"Chair, rocking",,
75,TRUE,FURNISHINGS_FIXTURES,Toilets,,
76,TRUE,FURNISHINGS_FIXTURES,"Bedspreads, throws or comforters",,
77,TRUE,FURNISHINGS_FIXTURES,Hot tubs or home spas,,
78,TRUE,FURNISHINGS_FIXTURES,Glass bathtub or shower enclosures,,
79,TRUE,FURNISHINGS_FIXTURES,Bunk beds,,
80,TRUE,FURNISHINGS_FIXTURES,Laundry hampers,,
81,TRUE,FURNISHINGS_FIXTURES,"Mattresses, not specified",,
82,TRUE,FURNISHINGS_FIXTURES,Pillows (excluding water pillows),,
83,TRUE,FURNISHINGS_FIXTURES,Step stools,,
84,TRUE,FURNISHINGS_FIXTURES,"Knickknacks, statues, vases or urns",,
85,TRUE,FURNISHINGS_FIXTURES,"Blankets, not specified",,
86,TRUE,FURNISHINGS_FIXTURES,Faucets or spigots,,
87,TRUE,FURNISHINGS_FIXTURES,"Beds or bedframes, other or not specified",,
88,TRUE,FURNISHINGS_FIXTURES,"Desks, dressers, chests, bureaus, or buffets",,
89,TRUE,FURNISHINGS_FIXTURES,"Window shades, venetian blinds or indoor shutters",,
90,TRUE,FURNISHINGS_FIXTURES,Extension cords,,
91,TRUE,FURNISHINGS_FIXTURES,"Electric chandeliers, hanging lamps or other attached light fixtures",,
92,TRUE,FURNISHINGS_FIXTURES,Clothespins,,
93,TRUE,FURNISHINGS_FIXTURES,"Lighting equipment, not specified",,
94,TRUE,FURNISHINGS_FIXTURES,Other bedding,,
95,TRUE,FURNISHINGS_FIXTURES,Bars and bar accessories (excluding gymnastic and weight lifting equipment),,
96,TRUE,FURNISHINGS_FIXTURES,Electrical outlets or receptacles,,
97,TRUE,FURNISHINGS_FIXTURES,"Footstools, ottomans or hassocks",,
98,TRUE,FURNISHINGS_FIXTURES,Flashlights or battery-powered lanterns,,
99,TRUE,FURNISHINGS_FIXTURES,"Sofas, couches, davenports, divans or studio couches",,
100,TRUE,FURNISHINGS_FIXTURES,Filters (excluding swimming pool and aquarium filters),,
101,TRUE,FURNISHINGS_FIXTURES,"Scales, not electric or not battery operated or not specified (excluding baby scales)",,
102,TRUE,FURNISHINGS_FIXTURES,"Draperies, curtains or shower curtains (fabric or plastic)",,
103,TRUE,FURNISHINGS_FIXTURES,Stepladders (excluding step stools),,
104,TRUE,FURNISHINGS_FIXTURES,Futons,,
105,TRUE,FURNISHINGS_FIXTURES,"Ladders, other or not specified",,
106,TRUE,FURNISHINGS_FIXTURES,Towel racks or bars,,
107,TRUE,FURNISHINGS_FIXTURES,Benches (excluding work benches),,
108,TRUE,FURNISHINGS_FIXTURES,Surge suppressors or power strips,,
109,TRUE,FURNISHINGS_FIXTURES,Table linens,,
110,TRUE,FURNISHINGS_FIXTURES,Fuel-burning lighting equipment,,
111,TRUE,FURNISHINGS_FIXTURES,Bed rails,,
112,TRUE,FURNISHINGS_FIXTURES,"Rugs or carpets, not specified",,
113,TRUE,FURNISHINGS_FIXTURES,"Clocks, electric or battery operated",,
114,TRUE,FURNISHINGS_FIXTURES,"Scales, electric or battery operated (excluding baby scales)",,
115,TRUE,FURNISHINGS_FIXTURES,Cots,,
116,TRUE,FURNISHINGS_FIXTURES,"Cabinets, racks, room dividers and shelves, not elsewhere classified",,
117,TRUE,FURNISHINGS_FIXTURES,"Chairs, other or not specified",,
118,TRUE,FURNISHINGS_FIXTURES,Mirrors or mirror glass (excluding lighted make-up mirrors),,
119,TRUE,FURNISHINGS_FIXTURES,Toddler beds,,
120,TRUE,FURNISHINGS_FIXTURES,Waterbeds or water pillows,,
121,TRUE,FURNISHINGS_FIXTURES,Magazine racks or book ends,,
122,TRUE,FURNISHINGS_FIXTURES,"Bathtub or shower enclosures, not specified",,
123,TRUE,FURNISHINGS_FIXTURES,"Electric lighting equipment, not specified",,
124,TRUE,FURNISHINGS_FIXTURES,"Cords, electrical, other or not specified",,
125,TRUE,FURNISHINGS_FIXTURES,Nonglass bathtub or shower enclosures,,
126,TRUE,FURNISHINGS_FIXTURES,"Stools, other or not specified",,
127,TRUE,FURNISHINGS_FIXTURES,Generators or power plants,,
128,TRUE,FURNISHINGS_FIXTURES,"Runners, throw rugs or doormats (excluding bathtub mats)",,
129,TRUE,FURNISHINGS_FIXTURES,"Room-sized, wall-to-wall or outdoor carpeting (excluding runners)",,
130,TRUE,FURNISHINGS_FIXTURES,Light bulbs (excluding Christmas tree light bulbs),,
131,TRUE,FURNISHINGS_FIXTURES,Inflatable furniture,,
132,TRUE,FURNISHINGS_FIXTURES,"Furniture, not specified",,
133,TRUE,FURNISHINGS_FIXTURES,Fabrics (not part of finished item),,
134,TRUE,FURNISHINGS_FIXTURES,Nonbaby mattresses (excluding camp mattresses),,
135,TRUE,FURNISHINGS_FIXTURES,"Panelboards, circuit breakers, ground fault circuit interrupters (GFCIs) or fuses",,
136,TRUE,FURNISHINGS_FIXTURES,Slipcovers,,
137,TRUE,FURNISHINGS_FIXTURES,Artificial flowers or plants,,
138,TRUE,FURNISHINGS_FIXTURES,Towels or cloths,,
139,TRUE,FURNISHINGS_FIXTURES,Beach chairs or folding chairs,,
140,TRUE,FURNISHINGS_FIXTURES,Barstools or kitchen stools,,
141,TRUE,FURNISHINGS_FIXTURES,"Electrical wire or wiring systems (excluding panelboards, receptacles or interrupters)",,
142,TRUE,FURNISHINGS_FIXTURES,Extension or straight ladders,,
143,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Other water heaters,,
144,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Vacuum cleaners,,
145,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Electric clothes dryers without washers,,
146,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Sewing machines or accessories,,
147,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Floor buffers or waxers,,
148,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Wringer washing machines,,
149,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Drinking fountains,,
150,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Automatic doors or door openers (excluding garage doors),,
151,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Gas clothes dryers without washers,,
152,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Water softeners or conditioners (appliances),,
153,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Incinerators,,
154,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,"Clothes dryers, not specified",,
155,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,"Washing machines, other or not specified",,
156,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Automatic garage doors or door openers,,
157,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Electric brooms,,
158,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Electric water heaters (excluding immersion heaters),,
159,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,"Propane, LP or butane gas tanks or fittings",,
160,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Rug shampooers,,
161,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Gas water heaters,,
162,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Electric blankets or sheets,,
163,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,"Water heaters, not specified",,
164,TRUE,GENERAL_HOUSEHOLD_APPLIANCE,Electric heating pads,,
165,TRUE,HEATING_COOLING_VENT_APPLIANCE,Oil furnaces (excluding floor furnaces),,
166,TRUE,HEATING_COOLING_VENT_APPLIANCE,"Gas-burning fireplaces, factory built",,
167,TRUE,HEATING_COOLING_VENT_APPLIANCE,Radiators (excluding vehicle radiators),,
168,TRUE,HEATING_COOLING_VENT_APPLIANCE,"Electric heaters, not elsewhere classified",,
169,TRUE,HEATING_COOLING_VENT_APPLIANCE,Fans,,
170,TRUE,HEATING_COOLING_VENT_APPLIANCE,"Furnaces, other or not specified",,
171,TRUE,HEATING_COOLING_VENT_APPLIANCE,Air purifiers,,
172,TRUE,HEATING_COOLING_VENT_APPLIANCE,"Brick, stone or masonry chimneys",,
173,TRUE,HEATING_COOLING_VENT_APPLIANCE,"Chimneys, not specified",,
174,TRUE,HEATING_COOLING_VENT_APPLIANCE,Floor furnaces (built into floor),,
175,TRUE,HEATING_COOLING_VENT_APPLIANCE,Vaporizers,,
176,TRUE,HEATING_COOLING_VENT_APPLIANCE,Gas furnaces (excluding floor furnaces),,
177,TRUE,HEATING_COOLING_VENT_APPLIANCE,"Wood burning fireplaces, factory built",,
178,TRUE,HEATING_COOLING_VENT_APPLIANCE,"Metal chimneys, stovepipes or flues",,
179,TRUE,HEATING_COOLING_VENT_APPLIANCE,Portable gas or LP heaters,,
180,TRUE,HEATING_COOLING_VENT_APPLIANCE,"Electric fireplaces, factory built",,
181,TRUE,HEATING_COOLING_VENT_APPLIANCE,Outdoor patio heaters or firepits (manufactured),,
182,TRUE,HEATING_COOLING_VENT_APPLIANCE,Coal or wood-burning stoves,,
183,TRUE,HEATING_COOLING_VENT_APPLIANCE,Dehumidifiers,,
184,TRUE,HEATING_COOLING_VENT_APPLIANCE,Boilers,,
185,TRUE,HEATING_COOLING_VENT_APPLIANCE,Coal furnaces,,
186,TRUE,HEATING_COOLING_VENT_APPLIANCE,Kerosene or oil heaters,,
187,TRUE,HEATING_COOLING_VENT_APPLIANCE,"Heaters or heating systems, other or not specified",,
188,TRUE,HEATING_COOLING_VENT_APPLIANCE,Electric furnaces (excluding floor furnaces),,
189,TRUE,HEATING_COOLING_VENT_APPLIANCE,"Fireplaces, not specified",,
190,TRUE,HEATING_COOLING_VENT_APPLIANCE,Pipes (excluding smoking pipes),,
191,TRUE,HEATING_COOLING_VENT_APPLIANCE,"Gas or LP heaters, other or not specified",,
192,TRUE,HEATING_COOLING_VENT_APPLIANCE,"Heat tapes, electric",,
193,TRUE,HEATING_COOLING_VENT_APPLIANCE,Humidifiers,,
194,TRUE,HEATING_COOLING_VENT_APPLIANCE,Heat pumps,,
195,TRUE,HEATING_COOLING_VENT_APPLIANCE,Electric baseboard heaters,,
196,TRUE,HEATING_COOLING_VENT_APPLIANCE,Thermostats (for heating or cooling systems),,
197,TRUE,HEATING_COOLING_VENT_APPLIANCE,Built-in fireplaces,,
198,TRUE,HEATING_COOLING_VENT_APPLIANCE,Portable electric heaters,,
199,TRUE,HEATING_COOLING_VENT_APPLIANCE,Ductwork for heating or cooling systems (excluding flues),,
200,TRUE,HEATING_COOLING_VENT_APPLIANCE,Air conditioners,,
201,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Radios (self-contained units,,
202,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,"Sound recording, reproducing or receiving equipment, not specified",,
203,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Amateur two-way radios,,
204,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Recording tapes,,
205,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Projectors,,
206,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Tape recorders or players (self-contained units),,
207,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,"Remote control, universal or not stated (excl. remote controls for toys)",,
208,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,"Antennas, not specified",,
209,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Art and ceramic supplies or equipment (excl. paintbrushes),,
210,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,"Telescopes, binoculars, microscopes or magnifying glasses",,
211,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Video players and recorders (excl. cameras),,
212,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Stereo or hi-fi components or accessories (excluding self-contained units),,
213,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Computers (equipment and electronic games),,
214,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Television tables or stands,,
215,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Outdoor antennas (separate),,
216,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Phonograph records,,
217,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Lapidary equipment,,
218,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,"Musical instruments, not electric or not battery operated or not specified",,
219,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Coaxial Cable,,
220,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Laser pointers,,
221,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Compact disks (CDs) and DVDs,,
222,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Televisions,,
223,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Telephones or telephone accessories,,
224,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,"Other sound recording, reproducing or receiving equipment",,
225,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Photographic equipment (excluding chemicals and projectors),,
226,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,"Musical instruments, electric or battery operated",,
227,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Record players (self-contained units),,
228,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Glass bottle cutting equipment,,
229,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,"Radios, not specified",,
230,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Indoor antennas (separate),,
231,TRUE,HOME_COMM_ENTERTAINMENT_HOBBY_EQUIPMENT,Business and office machines,,
232,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Lubricants,,
233,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Photographic chemicals,,
234,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,"Ammonia, household",,
235,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,"Polishes, not specified",,
236,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Diesel fuels,,
237,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Wallpaper cleaners (chemical),,
238,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,"Solvents, other or not specified",,
239,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Rust preventatives,,
240,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,"Fuel oils, not specified",,
241,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Methyl alcohol,,
242,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,"Automotive chemicals (excluding antifreeze, lubricants, waxes and windshield wiper fluids)",,
243,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Liquid room deodorizers or fresheners,,
244,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Gasoline cans,,
245,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Turpentine,,
246,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Soaps (excluding laundry soaps or detergents),,
247,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Tapes (with adhesive surfaces),,
248,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Adhesives (excluding tapes),,
249,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,"Chemicals, not elsewhere classified",,
250,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Lye,,
251,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Oven cleaners,,
252,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,"Paints, varnishes or shellacs",,
253,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,"Room deodorizers or fresheners, not specified",,
254,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Caustics (excluding lye),,
255,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Lamp oils,,
256,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Dyes (noncosmetic),,
257,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Antifreeze,,
258,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Lighter fluids,,
259,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Drain cleaners,,
260,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Shoe polishes,,
261,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Rust removers,,
262,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,"Automotive waxes, polishes or cleaners",,
263,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Dry ice,,
264,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,"Paint or varnish removers, paintbrush cleaners (excluding turpentine)",,
265,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Bleaches (noncosmetic),,
266,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,"Detergents, not specified",,
267,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Furniture polishes or waxes,,
268,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Fuels for chafing dishes or fondue pots,,
269,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Spot removers or cleaning fluids,,
270,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Dishwashing liquid,,
271,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Toilet bowl products,,
272,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,"Fabric treatment products (excluding spot removers, cleaning fluids, bleaches and dyes)",,
273,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Pine oil cleaning and disinfectant preparations,,
274,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,"General purpose household cleaners (excluding abrasives, ammonia, pine oil and toilet bowl products)",,
275,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,"Fuel storage tanks (excluding propane, LP and butane tanks)",,
276,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Paint or varnish thinners (excluding turpentine),,
277,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Charcoal,,
278,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,"Metal polishes, tarnish removers or preventatives",,
279,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Dishwasher detergents,,
280,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,School laboratory chemicals,,
281,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Swimming pool chemicals,,
282,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Caulking or spackling compounds,,
283,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Kerosene,,
284,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Wallpaper steamers,,
285,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Gasoline,,
286,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,"Paintbrushes or rollers, manual",,
287,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Windshield wiper fluids,,
288,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Laundry soaps or detergents,,
289,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Solid room deodorizers or fresheners,,
290,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Acids (excluding drain cleaners and battery acids),,
291,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Other polishes,,
292,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Floor waxes,,
293,TRUE,HOME_FAMILY_MAINTENANCE_PRODUCT,Abrasive cleaners,,
294,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,"Paper products (excluding bags, cups, straws and cardboard products)",,
295,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,Other glass bottles or jars,,
296,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,Nonglass bottles or jars (excluding baby bottles),,
297,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,Other specified plastic products,,
298,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,"Metal containers (excluding aerosols, trash and gasoline cans)",,
299,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,Cardboard products,,
300,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,Containers with key openers,,
301,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,Aluminum foil wrapping products,,
302,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,Vacuum containers,,
303,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,Other containers (excluding vacuum or pressurized containers),,
304,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,Glass tubing or test tubes,,
305,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,"Plastic containers (rigid or semi-rigid, excluding bottles and jars)",,
306,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,Plastic bags,,
307,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,Wooden containers,,
308,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,"Glass bottles or jars, not specified",,
309,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,"Self-contained openers (e.g., zip-top or pull-top cans)",,
310,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,Glass alcoholic beverage bottles,,
311,TRUE,HOUSEHOLD_PACKAGING_CONTAINER,Plastic wrapping products (excluding plastic bags),,
